```csv
Step #,Description,Command
1,Update Ubuntu package lists to ensure the latest versions of packages are available.,"sudo apt update && sudo apt upgrade -y"
2,Install essential build tools and libraries required for compiling Python packages and numerical libraries.,"sudo apt install -y build-essential python3-dev libatlas-base-dev"
3,Ensure Python 3.12 is installed, compatible with your environment.,"sudo apt install -y python3.12"
4,Install pip for Python 3 to manage package installations.,"sudo apt install -y python3-pip"
5,Install python3-venv to create isolated Python environments.,"sudo apt install -y python3-venv"
6,Create a virtual environment named venv-backtrader to isolate project dependencies.,"python3.12 -m venv ~/venv-backtrader"
7,Activate the virtual environment to ensure subsequent package installations are isolated.,"source ~/venv-backtrader/bin/activate"
8,Upgrade pip within the virtual environment to the latest version for reliable package installation.,"pip install --upgrade pip"
9,Install numpy (version 2.2.6, compatible with your setup) for numerical computations.,"pip install numpy==2.2.6"
10,Install pandas for data handling, compatible with your CSVs.,"pip install pandas"
11,Install pandas-ta==0.3.14b0 for technical indicators (EMA, RSI, MACD, etc.).,"pip install pandas-ta==0.3.14b0"
12,Install yfinance to fetch VIX data for your regime filter.,"pip install yfinance"
13,Install backtrader for the backtesting framework.,"pip install backtrader"
14,Install optuna for hyperparameter optimization.,"pip install optuna"
15,Install matplotlib for optional plotting of equity curves or optimization results.,"pip install matplotlib"
16,Verify package installation by checking versions in the virtual environment.,"pip list | grep -E 'numpy|pandas|pandas-ta|yfinance|backtrader|optuna|matplotlib'"
17,Create a project directory to store the script and data.,"mkdir ~/backtrader_optuna && cd ~/backtrader_optuna"
18,Copy your existing CSVs to the project directory (adjust path as needed).,"mkdir -p stock_data/qqq stock_data/xlk && cp /path/to/your/stock_data/* stock_data/"
19,Create and edit the Backtrader + Optuna script (backtest_strategies.py).,"nano backtest_strategies.py"
20,Copy the script content into backtest_strategies.py, then save and exit (Ctrl+O, Enter, Ctrl+X).,"(Paste script in nano)"
21,Run the script in the virtual environment to perform strategy optimization.,"python backtest_strategies.py"
22,Check the script’s output (top 10 strategies beating buy-and-hold) and troubleshoot errors.,"cat output.txt"
23,Optional: Install Jupyter for interactive analysis of results.,"pip install jupyter"
24,Optional: Start Jupyter notebook for result exploration (access via SSH tunnel).,"jupyter notebook --no-browser --port=8888"
25,Monitor system resources to ensure the optimization runs smoothly.,"top"
26,Export the virtual environment’s package list for reproducibility.,"pip freeze > requirements.txt"
```
